                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4763,                 2.6337,                 1.3686,                0.95345,                 0.1116,                0.25786,                0.15028,                 1.3378,                 2.7028,                 1.3212,               0.000325,               0.000325,               0.000325
                      2,                 1.4172,                 1.4112,                 1.3052,                0.92518,                0.25775,                0.60636,                0.34631,                 1.4083,                 2.0808,                 1.3423,              0.0006453,              0.0006453,              0.0006453
                      3,                  1.398,                 1.2317,                 1.3039,                0.76877,                0.47081,                0.66574,                0.37638,                 1.4878,                 1.8372,                 1.3875,              0.0009524,              0.0009524,              0.0009524
                      4,                 1.3808,                 1.1711,                  1.302,                0.77629,                0.66474,                 0.7645,                0.43574,                 1.5038,                 1.3524,                 1.4271,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.3925,                 1.1296,                 1.3022,                0.73875,                0.71056,                0.76514,                0.41456,                 1.5136,                 1.2676,                 1.3971,              0.0009208,              0.0009208,              0.0009208
                      6,                  1.384,                 1.0826,                 1.2725,                   0.84,                0.75462,                0.81819,                0.46823,                 1.3794,                 1.0785,                 1.3276,               0.000901,               0.000901,               0.000901
                      7,                   1.34,                 1.0324,                 1.2621,                0.87427,                0.75015,                0.81719,                0.48777,                 1.3901,                 1.0442,                 1.3352,              0.0008812,              0.0008812,              0.0008812
                      8,                  1.335,                   0.99,                 1.2556,                0.86006,                0.73683,                0.83326,                0.47283,                 1.3642,                 1.0214,                 1.3231,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.3341,                0.95964,                 1.2579,                0.85327,                0.75331,                0.82323,                0.48484,                 1.3879,                 1.0003,                 1.3205,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.3106,                0.94498,                 1.2353,                0.91152,                0.76835,                0.84608,                0.50129,                 1.3635,                0.87406,                 1.2986,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.3027,                0.91153,                 1.2449,                0.87852,                0.74201,                0.84368,                0.48669,                 1.4246,                 1.0182,                 1.3357,               0.000802,               0.000802,               0.000802
